date,post_count,post_count_diff,prob_epidemic
2018-12-31,6,2.0,0.019512326890976095
2019-01-01,4,-2.0,
2019-01-02,10,6.0,
2019-01-03,8,-2.0,
2019-01-04,5,-3.0,
2019-01-05,5,0.0,0.016989000472209713
2019-01-06,7,2.0,
2019-01-07,14,7.0,
2019-01-08,15,1.0,
2019-01-09,19,4.0,
2019-01-10,9,-10.0,0.5595083110729151
2019-01-11,14,5.0,
2019-01-12,9,-5.0,
2019-01-13,8,-1.0,
2019-01-14,13,5.0,
2019-01-15,12,-1.0,0.047427732007036726
2019-01-16,11,-1.0,
2019-01-17,16,5.0,
2019-01-18,12,-4.0,
